t,rx,ry,r_yaw_deg,gx,gy,g_yaw_deg,x_err,y_err,xy_err,yaw_err_deg,path_err,linear_vel,angular_vel
0.05352113200024178,-4.450209568116512e-19,-3.94650925189328e-38,2.4522162150492256e-17,5.6,0.0,-89.95437383553924,5.6,3.94650925189328e-38,5.6,-89.95437383553924,0.019999975413092633,-8.583961019015532e-21,-3.090710769091033e-20
0.18812336700011656,0.0004999999787906838,-1.2499999715402165e-07,-0.02864788972969806,5.6,0.0,-89.95437383553924,5.599500000021209,1.2499999715402165e-07,5.5995000000212105,-89.92572594580956,0.019999850413086804,0.0024999999981201396,-0.002499999997657555
0.3218047730001672,0.006999959108773999,-2.1230711373026114e-05,-0.3129231033384448,5.6,0.0,-89.95437383553924,5.5930000408912255,2.1230711373026114e-05,5.59300004093152,-89.64145073220081,0.019978744701710932,0.03503759397617009,-0.027336610744015787
0.450872118999996,0.01999946456091674,-0.0001326138165534107,-0.6434756773389672,5.6,0.0,-89.95437383553924,5.5800005354390825,0.0001326138165534107,5.580000537014927,-89.31089815820029,0.019867361596530547,0.09753759397248515,-0.05368276458261443
0.5860180220001894,0.03949745387255553,-0.00041073861546149525,-0.9740282513394956,5.6,0.0,-89.95437383553924,5.560502546127444,0.00041073861546149525,5.560502561297495,-88.98034558419975,0.019589236797622464,0.16249999998759282,-0.05769230767251342
0.7189047410001876,0.0659920983123059,-0.0009416831339182065,-1.3045808253400235,5.6,0.0,-89.95437383553924,5.534007901687694,0.0009416831339182065,5.534007981807486,-88.64979301019923,0.019058292279165754,0.22999999998631546,-0.057692307672514466
0.867850921000354,0.0989819429027462,-0.0017597912980676824,-1.4896902668328684,5.6,0.0,-89.95437383553924,5.501018057097253,0.0017597912980676824,5.501018338578363,-88.46468356870638,0.018240184115016277,0.29749999998754273,-0.04499999998914703
1.0044039809999958,0.13946719144786537,-0.0028525623385636124,-1.5998744582025974,5.6,0.0,-89.95437383553924,5.460532808552134,0.0028525623385636124,5.460533553636142,-88.35449937733665,0.01714741307452035,0.3674999999874686,-0.02576923076813613
1.150717515999986,0.18644755121988862,-0.004210911420289815,-1.710058649572363,5.6,0.0,-89.95437383553924,5.413552448780111,0.004210911420289815,5.413554086500672,-88.24431518596688,0.015789063992794145,0.4374999999861555,-0.019230769230495895
1.2911150220002128,0.24092165186101513,-0.005890625888665916,-1.8202428409420977,5.6,0.0,-89.95437383553924,5.3590783481389845,0.005890625888665916,5.359081585585858,-88.13413099459716,0.014109349524418044,0.5074999999861434,-0.019230769230496512
1.4371493190001274,0.30288840337165707,-0.007920531975309626,-1.930427032311786,5.6,0.0,-89.95437383553924,5.297111596628342,0.007920531975309626,5.297117518232085,-88.02394680322747,0.012079443437774333,0.5824999999861374,-0.019230769230489896
